,Names,Specialization,Experience,Hospital_Name,Area,City,Consultation_Fee,Doctor_recommondations,Patient_Stories,Doctor_availability
409,Dr. Vivekananda Reddy,Dentist,22,Smile Craft Dental and Implant Centre,Hoodi,Bangalore,500,100,29, Today
410,Dr. Rajkumar G.C,Dentist,28,Raj Kumar's Dental And Implant Centre,Basavanagudi,Bangalore,500,99,190, Today
411,Dr. Sumanth Shetty,Dentist,24,Chisel Dental,Koramangala,Bangalore,500,97,2602, Today
412,Dr. Prafulla Biradar,Dentist,22,Impressions Dental Specialities,Sahakaranagar,Bangalore,500,99,79, Today
413,Dr. M J Murali,Dentist,26,All Care Dental Centre - since 1969,Indiranagar,Bangalore,500,99,102, Today
414,Dr. Pallavi.S.K,Dentist,21,Raj Kumar's Dental And Implant Centre,Basavanagudi,Bangalore,500,100,1, Today
417,Dr. Yugandhar,Dentist,21,National Dental Care,KPHB,Hyderabad,500,95,826, Today
418,Dr. Ershad,Dentist,15,Star Multi Speciality Dental Clinic,Madinaguda,Hyderabad,300,100,35, Today
419,Dr. Anil Kumar,Dentist,20,Dr. Anil's Superspeciality Dental Hospital And Implant Center,Boduppal,Hyderabad,500,98,131, Today
420,Dr. Sri Sujan Suryadevara,Dentist,15,S S Dental Care,Sanath Nagar,Hyderabad,500,100,58, Today
421,Dr. Nadeem Qadri,Dentist,14,Dentadura A Multi Speciality Dental Center,Tolichowki,Hyderabad,500,99,167, Today
422,Dr. Jothi Ratnam,Dentist,11,Teethmate Speciality Dental Clinic,Padmarao Nagar,Hyderabad,500,86,1, Today
423,Dr. Anoop Chowdary,Dentist,14,Expert Dental Care,Chanda Nagar,Hyderabad,500,97,18, Today
424,Dr. Irfan Md,Dentist,18,Facios Clinic,Gachibowli,Hyderabad,400,100,1, Today
425,Dr. Ritesh Rajan,Dentist,24,Kishore's Dental Clinic,Madinaguda,Hyderabad,0,97,24, Today
426,Dr. S Sreedhar Reddy,Dentist,24,Esthetix Dental ,West Marredpally,Hyderabad,500,100,104, Today
429,Dr. M.Srikanth,Dentist,22,Smile Solutions Family Dentistry,Chromepet,Chennai,500,98,585, Today
430,Dr. B J Barun,Dentist,19,Dr. Barun's Multispeciality Dental Centre,Velachery,Chennai,600,98,358, Today
431,Dr. D.Revathi,Dentist,16,Dr.Revathi's Dental Clinic,Kattupakkam,Chennai,500,99,139, Today
432,Dr. Prem Kumar,Dentist,16,Just Smile Dental & ENT Specialities,Madipakkam,Chennai,500,97,48, Today
433,Dr. Mareeswari,Dentist,15,A2Z Dental Care,Pallikaranai,Chennai,500,99,164, Today
434,Dr. N Sankar Ram Mithran,Dentist,15,Dr. Mithran's Multispeciality Dental Clinic,Chromepet,Chennai,500,98,113, Today
435,Dr. K. Nithya Pandiarajan,Dentist,10,Sparkle Dental,Virugambakkam,Chennai,200,100,7, Today
436,Dr. Pavani Thota,Dentist,12,Dhantham Dental Hospital International,Nungambakkam,Chennai,1800,97,25, Today
437,Dr. Vikram,Dentist,10,Dr.Vikram's Dental & General Clinic,Ashok Nagar,Chennai,500,100,2, Today
438,Dr. B.Ssneha Vignesh,Dentist,7,VIGNESH'S DENTAL ZONE,Gowrivakkam,Chennai,150,100,1, Today
441,Dr. Sanket Mehta,Dentist,18,Smile Studio Dental Clinic,Matunga,Mumbai,500,99,449, Today
442,Dr. Riddhi Rathi,Dentist,16,OrthoSquare,Vileparle East,Mumbai,300,99,819, Today
443,Dr. Nikhil Surana,Dentist,14,Bright 32 Dental Care & Orthodontic Centre,Kandivali East,Mumbai,500,96,27, Today
444,Dr. Jayna Shah,Dentist,34,Smilee Dental Care,Powai,Mumbai,500,100,33, Today
445,Dr. Karanjit Singh Chaudhary,Dentist,19,Envisage Speciality Dental Clinic,Chembur,Mumbai,800,100,164, Today
446,Dr. Abhishek Ramesh Chauhan,Dentist,15,Sharan Hospital,Ghatkopar West,Mumbai,1000,98,34, Today
447,Dr. Dipika Bharani,Dentist,14,Dentalfix Clinic,Vileparle East,Mumbai,500,99,128, Today
448,Dr. Rohan Virani,Dentist,17,Trisa Dental Solutions,Mulund West,Mumbai,500,95,149, Today
449,Dr. Adil Gandevivala,Dentist,15,Expressions Maxillofacial Surgery and Dentistry,Tardeo,Mumbai,500,99,45, Today
450,Dr. Reema Nanavati,Dentist,15,Nanavati's Dental Wellness,Borivali,Mumbai,500,100,22, Today
453,Dr. Gauri Babhulgaonkar,Dentist,11,Root Canal Specialist & Implant Dental Clinic,Kharadi,Pune,500,100,36, Today
454,Dr. Prajakta More,Dentist,14,Avani Multispeciality Dental Clinic,Dhanori,Pune,300,92,62, Today
455,Dr. Ratnika Agarwal,Dentist,11,Dr. Ratnika's - Smile Up Dental Clinic & Implant Center,Kharadi,Pune,500,98,506, Today
456,Dr. Puja Bansal,Dentist,24,Prudent International Health Clinic,Kalyani Nagar,Pune,500,97,681, Today
457,Dr. Makarand Thoke,Dentist,26,Om Happy Teeth Dental Clinic,Pimple Saudagar,Pune,500,97,27, Today
458,Dr. Ganesh,Dentist,14,DentalTree (Implants - Cosmetics - Lasers),Aundh,Pune,500,97,273, Today
459,Dr. Awanti,Dentist,20,Dr AWANTHI Cosmetic and Implant Clinic,Wadgaon Sheri,Pune,500,96,188, Today
460,Dr. Surbhi Bhatia L,Dentist,18,Lifeberries Health,Viman Nagar,Pune,500,97,370, Today
461,Dr. Shardul Sontakke,Dentist,23,Smile Gallery Dental Care Centre,Kothrud,Pune,500,99,142, Today
462,Dr. Hemant Patil,Dentist,16,Laconic Dental Studio,Pimple Saudagar,Pune,500,93,680, Today
465,Dr. Harsh Goyal,Dentist,14,Dr Goyals Dental Center and Implant Centre,Janakpuri,Delhi,500,100,288, Today
466,Dr. Ritesh,Dentist,18,Ritesh Dental Clinic,Vasant Kunj,Delhi,500,99,113, Today
467,Dr. Rohit Yadav,Dentist,11,Cusp Dental,Dwarka Sector 23,Delhi,500,100,116, Today
468,Dr. Namita Karna,Dentist,25,Max Multi Speciality Centre - Panchsheel Park,Panchsheel Park,Delhi,1000,33,2, Today
469,Dr. Niraj Rampal,Dentist,46,Dr. Rampal Dental Clinic,Greater Kailash Part 2,Delhi,1500,100,20, Today
470,Dr. Kapil Gandhi,Dentist,26,Dental Masters,Kalkaji,Delhi,800,98,130, Today
471,Dr. Manish Kalra,Dentist,26,Dr. Kalra's Dental & Orthodontic Clinic,Lajpat Nagar,Delhi,700,97,95, Today
472,Dr. Vinod Khanna,Dentist,14,Complete Dental Care,Ramesh Nagar,Delhi,500,98,133, Today
473,Dr. Mansi Khatri,Dentist,11,Crown And Roots,South Extension 2,Delhi,500,100,10, Today
474,Dr. Aval Luthra,Dentist,22,Dental Arche,Vasant Kunj,Delhi,700,97,43, Today
477,Dr. Nikita Parasrampuria,Dentist,10,Smile Studio Dental Clinic,Lake Town,Kolkata,500,92,32, Today
478,Dr. Sanjoy Sahoo,Dentist,13,B. Bharti Specialty Dental Clinic,Gariahat,Kolkata,500,100,132, Today
479,Dr. Saumyadeep Ghosh,Dentist,7,Novo Smile Dental Care,Dumdum Road,Kolkata,500,100,2, Today
480,Dr. Saurabh Gupta,Dentist,12,Being Dentist Maxillofacial and Dental Implants Clinic,Kankurgachi,Kolkata,500,99,140, Today
481,Dr. Vrinda Agarwal,Dentist,5,Orchidd Dental Wellness,Park Street,Kolkata,500,100,11, Today
482,Dr. Ankur Gupta,Dentist,18,Dentistree,Park Street,Kolkata,500,98,115, Today
483,Dr. Radhika V Goel,Dentist,18,Dentotsav Dental Clinic,Kasba,Kolkata,1000,97,170, Today
484,Dr. Chetna Tikmani,Dentist,12,Ur's Toothfully Dental Clinic,New Alipore,Kolkata,1000,80,2, Today
485,Dr. Arimeeta Bhadra,Dentist,8,Teeth Care Multispeciality Dental Clinic,Rajarhat,Kolkata,500,97,170, Today
486,Dr. Somik Bose,Dentist,15,Orange Dental Clinic,Bhawanipore,Kolkata,500,96,40, Today
573,Dr. Phanindra V V,Ayurveda,15,Narayana Ayurveda Kuteeram,Banashankari,Bangalore,400,99,273, Today
574,Dr. Tanmaya,Ayurveda,15,Siddhanta Ayurveda,Marathahalli,Bangalore,400,95,53, Today
575,Dr. Vinay,Ayurveda,14,Varaprada Ayurvedic Centre,Basavanagudi,Bangalore,300,99,155, Today
576,Dr. Rachana Ghatol-Shetty,Ayurveda,23,Nurture Multispeciality Clinic,Panathur,Bangalore,500,97,51, Today
577,Dr. Mone Damodar,Ayurveda,23,Kurias Earth Ayurveda Multispeciality Hospital,Banashankari 1st Stage,Bangalore,750,97,5, Today
578,Dr. Chaithralaxmi.K,Ayurveda,15,Shrirama Ayur Clinic,Malleswaram,Bangalore,200,100,61, Today
579,Dr. Maitry H Shettigar,Ayurveda,16,Maitri Ayurveda,Singasandra,Bangalore,300,100,8, Today
580,Dr. Pepsy Jose,Ayurveda,11,Ayur Rhythm Holistic Clinic,JP Nagar 8 Phase,Bangalore,500,100,2, Today
581,Dr. Prashanth S Acharya,Ayurveda,27,Arth Ayurveda Hospitals,HAL 2nd Stage,Bangalore,500,67,1, Today
582,Dr. Geetika Thakur,Ayurveda,15,Keva Ayurveda,Whitefield,Bangalore,400,100,9, Today
585,Dr. S Sarangapani,Ayurveda,43,Sai Bharadwaja Advanced Ayurveda Hospital,Erragadda,Hyderabad,500,99,146, Today
586,Dr. C Narmada,Ayurveda,23,Tejas Classical Ayurveda,Shaikpet,Hyderabad,500,100,13, Today
587,Dr. Anupama Uppuluri,Ayurveda,24,Snigdha Ayurvedic Hospital,Bachupally,Hyderabad,500,100,29, Today
588,Dr. Rajya Lakshmi,Ayurveda,27,Ayurkalpa,Kondapur,Hyderabad,500,100,23, Today
589,Dr. M. Narasimha,Ayurveda,24,S.B. Ayurvedic Speciality Clinic,Ameerpet,Hyderabad,500,88,62, Today
590,Dr. Rashmi BV,Ayurveda,20,Charaka Ayurveda,Erragadda,Hyderabad,500,100,17, Today
591,Dr. Sushma Shivkumar M,Ayurveda,13,SWAMI CLINIC,Yousufguda,Hyderabad,550,80,3, Today
592,Dr. Priti Thakre,Ayurveda,21,Chaudhari Clinic-Ayurvedic Infertility Treatment Center,KPHB,Hyderabad,500,100,9, Today
593,Dr. Sai Deepthi T,Ayurveda,8,MedExpress Clinic,Srinagar Colony,Hyderabad,450,100,1, Today
594,Dr. Alivelu Manga,Ayurveda,25,JIVA Ayurveda,Himayat Nagar,Hyderabad,299,93,9, Today
597,Dr. Rajesh Verma,Ayurveda,28,Bliss Medicare Centre,Vadapalani,Chennai,600,95,161, Today
598,Dr. Poonam Verma,Ayurveda,27,Bliss Medicare Centre,Vadapalani,Chennai,600,96,17, Today
599,Dr. T. Vamsi Latha,Ayurveda,21,Shree Ayurvedic Multispeciality Hospital,West Mambalam,Chennai,500,98,17, Today
600,Dr. M Vishnupriya,Ayurveda,15,Aditti Ayurveda And Panchakarma Clinic,Selaiyur,Chennai,300,100,139, Today
601,Dr. D Jayashree,Ayurveda,39,Shree Ayurvedic Multispeciality Hospital,West Mambalam,Chennai,750,97,108, Today
602,Dr. Sruthy Sreekumar,Ayurveda,12,Shree Ayurvedic Multispeciality Hospital,West Mambalam,Chennai,500,100,1, Today
603,Dr. D Srikrishna,Ayurveda,12,Shree Ayurvedic Multispeciality Hospital,West Mambalam,Chennai,500,98,76, Today
604,Dr. B.Krishnapriya,Ayurveda,13,ALM Ayush Centres,Ambattur,Chennai,250,100,1, Today
605,Dr. M.Aswathi,Ayurveda,5,ALM AYUSH Centres,Kotturpuram,Chennai,250,100,1, Today
606,Dr. G.Arunagiri,Ayurveda,17, ALM Ayush,OMR Road,Chennai,250,100,1, Today
609,Dr. Arun Kumar,Ayurveda,35,Kaya Kalp International Sex & Health Clinics,Dadar West,Mumbai,800,97,515, Today
610,Dr. Sunita Jonwal,Ayurveda,15,Dr. Jonwal's NapAyurVeda Panchkarm & Wellness,Kandivali West,Mumbai,800,90,132, Today
611,Dr. Amit Aroskar,Ayurveda,24,Dr. Aroskar's Aamod Ayurvedic Wellness Clinic,Borivali West,Mumbai,800,100,25, Today
612,Dr. Nitin Goradia,Ayurveda,31,Goradia Ayurvedic Clinic.,Grant Road,Mumbai,1500,97,67, Today
613,Dr. Prajakta Rajurkar,Ayurveda,17,Jiva Ayurveda Clinic,Andheri West,Mumbai,299,100,2, Today
614,Dr. Varsha Gupta,Ayurveda,15,Herbal Ayurvedic & PanchKarma Centre,Ghatkopar West,Mumbai,500,96,25, Today
615,Dr. Jyoti R Jangale,Ayurveda,15,Shree Clinic Ayurveda and Panchkarma Center,Mulund West,Mumbai,800,100,46, Today
616,Dr. Ketki Trivedi,Ayurveda,37,Ayushakti Ayurved  Health Centre,Vileparle West,Mumbai,300,100,1, Today
617,Dr. Mahajan Deepak Sevakram,Ayurveda,15,Ayushakti Ayurved Health Centre,Dadar,Mumbai,300,100,1, Today
618,Dr. Manasi Shreyas Joshi,Ayurveda,12,Maple Polyclinic,Mulund West,Mumbai,500,100,8, Today
621,Dr. Manoj Madhukar Deshpande,Ayurveda,27,Kalpataru Ayurvediya Chikitsalaya,Shivajinagar,Pune,500,97,119, Today
623,Dr. Madhavi Satav Chavan,Ayurveda,16,Ayuspanda Ayurvedic And Panchakarma Centre,Pimpri-Chinchwad,Pune,300,100,8, Today
624,Dr. Hemant Chavan,Ayurveda,16,Ayuspanda Ayurvedic Clinic And Panchakarma Centre,Pimple Saudagar,Pune,200,95,60, Today
625,Dr. Sangeeta Waghmode,Ayurveda,22,Sanjeevani Ayurved And Panchkarma Center,Sinhagad Road,Pune,300,99,155, Today
626,Dr. Shruty Dumbre,Ayurveda,30,Dr. Shruty Dumbre's Shatayu Ayurveda And Panchakar,Sinhagad Road,Pune,500,97,20, Today
627,Dr. Priti Mangesh Deshmukh,Ayurveda,18,Pranav Ayurveda Panchakarma Clinic,Pimpri-Chinchwad,Pune,400,99,278, Today
628,Dr. Namrata Shah,Ayurveda,11,Ayurveda Clinic Center,Aundh,Pune,200,100,159, Today
629,Dr. Prajakta Kale,Ayurveda,18,Nihareeka Ayurveda Clinic & Panchakarma Centre,Kharadi,Pune,375,92,50, Today
630,Dr. Shailesh Phalle,Ayurveda,12,Dr. Phalle's Ayusanjivani Speciality Clinic And Panchakarma Centre,Kharadi,Pune,350,96,91, Today
633,Dr. Mahesh Shah,Ayurveda,54,Hakim Hari Kishan Lal Dawakhana,Patel Nagar East,Delhi,50,93,341, Today
634,Dr. Sudha Asokan,Ayurveda,44,Dr. Sudha's Ayurveda Kendra,Safdarjung Enclave,Delhi,1200,96,105, Today
635,Dr. Anjana Kalia,Ayurveda,22,Dr Anjana Kalia's Diet clinic,Dwarka,Delhi,1000,99,138, Today
636,Dr. Vijay Abbot,Ayurveda,49,Hakim Hari Kishan Lal Dawakhana,Patel Nagar East,Delhi,50,82,192, Today
637,Dr. S K Singh,Ayurveda,37,Sushruta Anorectal Institute,Rohini,Delhi,1500,89,473, Today
638,Dr. Jyoti Arora Monga,Ayurveda,23,Dr. Monga Clinic,Lajpat Nagar,Delhi,800,87,578, Today
639,Dr. Ajay Pal Singh,Ayurveda,15,Ajay Health Clinic,Tilak Nagar,Delhi,1500,86,126, Today
640,Dr. Naveen CR,Ayurveda,13,Kurias Earth Multispeciality Ayurveda Hospital Pvt. Ltd.,Green Park,Delhi,1000,91,2, Today
641,Dr. Shyla Vahab,Ayurveda,29,Amaltas Ayurveda,Dwarka Sector 13,Delhi,500,96,20, Today
642,Dr. Vipin Kumar,Ayurveda,40,Hakim Hari Kishan Lal Dawakhana,Patel Nagar East,Delhi,50,98,72, Today
645,Dr. Sasanka Chowdhury,Ayurveda,13,Sriveda,Rajarhat,Kolkata,800,100,23, Today
646,Dr. Debasish Pahari,Ayurveda,28,Dirghayu Ayurveda,Thakurpukur,Kolkata,800,100,22, Today
647,Dr. Prabhat Kumar Bal,Ayurveda,25,Sanjeeva,New Town,Kolkata,600,88,6, Today
648,Dr. Amit Khattri,Ayurveda,14,JIVA Ayurveda Clinic,Sarat Bose Road,Kolkata,99,100,1, Today
649,Dr. Shiv Prakash Singh,Ayurveda,16,Ved Hive Ayurveda,Nagerbazar,Kolkata,400,100,1, Today
650,Dr. Chiranjit Bhowink,Ayurveda,9,JIVA Ayurveda Clinic,Sarat Bose Road,Kolkata,299,100,1, Today
651,Dr. Konika Anand,Ayurveda,6,Sriveda,Rajarhat,Kolkata,500,100,1, Today
652,Dr. Nazrul Islam,Ayurveda,29,Tarangini Nursing Home,Behala,Kolkata,500,100,18, Today
653,Dr. Siddhartha Sharma,Ayurveda,16,Siddha Veda Clinic,Salt Lake,Kolkata,300,100,6, Today
654,Dr. Samarjit Ghatak,Ayurveda,18,Rudram Ayurveda Clinic,Bansdroni,Kolkata,400,100,1, Today
1049,Dr. Vinay Anvekar,Dentist,20,Vinayaka Sai Dental Clinic,BTM Layout 1st Stage,Bangalore,200,97,189, Today
1050,Dr. T. Ramakrishna,Dentist,25,Dental Profiles,JP Nagar 5 Phase,Bangalore,500,95,362, Today
1051,Dr. Utkarsha Lokesh,Dentist,25,Dr. Uthkarshas Esthetic Centre,Malleswaram,Bangalore,500,98,296, Today
1052,Dr. Manjunath G S,Dentist,21,Embassy Dental,Kalyan Nagar,Bangalore,500,99,159, Today
1053,Dr. Idris Md,Dentist,14,CLINIQUE - Internationale,Jayanagar,Bangalore,500,99,139, Today
1054,Dr. Raghavendra K,Dentist,26,Raghav Dental Care Centre,Rajajinagar,Bangalore,500,94,34, Today
1055,Dr. Anwar Syed,Dentist,14,Perfecto Dental and Implant Clinic,Panathur,Bangalore,500,99,251, Today
1056,Dr. Srihari  V,Dentist,20,Prodent Professional Dental Care,KR Puram,Bangalore,500,99,187, Today
1057,Dr. Aditi Garg,Dentist,15,Elite Esthetics and Dental Clinic,HSR Layout,Bangalore,500,100,16, Today
1058,Dr. Suhas Prabhakar,Dentist,14,Kamal Smiles Dental Care,Bannerghatta Road,Bangalore,500,98,21, Today
1060,Dr. Surendra Kumar Alluri,Dentist,28,Shambhala Dental Spa and Wholeness,Kokapet,Hyderabad,500,99,359, Today
1061,Dr. K. Arjun,Dentist,26,Tarnaka Dental Clinic,Tarnaka,Hyderabad,500,98,154, Today
1062,Dr. Subbaiah Naidu,Dentist,13,Indo American Dental Hospital,Ameerpet,Hyderabad,500,100,34, Today
1063,Dr. Nagaraju Tanneru,Dentist,17,Veeras Clinic,Nagole,Hyderabad,500,100,4, Today
1064,Dr. Sri Sujan Suryadevara,Dentist,15,S S Dental Care,Sanath Nagar,Hyderabad,500,100,58, Today
1065,Dr. Deepak Pusa,Dentist,7,Padmavathi  Dental Clinic   & Maxillofacial Center,Kapra,Hyderabad,500,100,33, Today
1066,Dr. Sowjanya Kalwagadda,Dentist,13,Smile Makers International,Kondapur,Hyderabad,500,100,1, Today
1067,Dr. Sudhakar,Dentist,16,Galaxy Dental Care Creating Smiles,Kondapur,Hyderabad,500,100,280, Today
1068,Dr. J. Sanjeev,Dentist,18,Siri Dental-KARMANGHAT,LB Nagar,Hyderabad,500,100,1, Today
1069,Dr. Venkatesh,Dentist,35,Apollo Dental,Jubilee Hills,Hyderabad,500,100,1, Today
1071,Dr. Sriraman K,Dentist,13,Gem 32 Dental Spa,Perungudi,Chennai,250,100,27, Today
1072,Dr. Ajay Mohan,Dentist,14,"Impressions Dental, Cosmetic, Craniofacial Centre",Mylapore,Chennai,500,100,94, Today
1073,Dr. Mathan Mohan,Dentist,24,Apollo Speciality Hospital,Vanagaram,Chennai,800,100,3, Today
1074,Dr. Veeraragavan,Dentist,8,SmileMakers Multispeciality Dental Clinic and Implant Centre,Selaiyur,Chennai,500,100,13, Today
1075,Dr. Pradeep S,Dentist,13,Oncodent,Teynampet,Chennai,500,100,1, Today
1076,Dr. Ashwin Nehrudhas,Dentist,12,The Dental Office By LPM,Mylapore,Chennai,500,100,1, Today
1077,Dr. K.R. ARUN VIGNESH,Dentist,9,Mesrad Dental Surgeon,Medavakkam,Chennai,150,100,1, Today
1078,Dr. Sujith Raj Stephen,Dentist,12,Dr. Steve's Dental Care,Valasaravakkam,Chennai,200,100,6, Today
1079,Dr. Jeffin Jacob,Dentist,12,Gladys Dental Care,Pallikaranai,Chennai,200,100,2, Today
1080,Dr. Raviganeshwar D,Dentist,8,Quantum Dental Clinic,Navalur,Chennai,500,100,1, Today
1082,Dr. Abbasali Barodawala,Dentist,13,S&B Dental Specialities,Andheri West,Mumbai,500,100,19, Today
1083,Dr. Abhishek Ramesh Chauhan,Dentist,15,Sharan Hospital,Ghatkopar West,Mumbai,1000,98,34, Today
1084,Dr. Ashwini Bhalerao,Dentist,30,Wisdom Tooth Clinic,Andheri West,Mumbai,1000,97,260, Today
1085,Dr. Nitesh Motwani,Dentist,15,Smile Concepts Multi Speciality Dental Clinic,Andheri West,Mumbai,500,98,125, Today
1086,Dr. Hitesh Singhavi,Dentist,8,Fortis Hospital,Mulund West,Mumbai,2000,100,1, Today
1087,Dr. Mayuri Jobanputra Shah,Dentist,13,ToothFix DentoFacial Clinic,Borivali West,Mumbai,300,97,55, Today
1088,Dr. Vividha Singhania,Dentist,14,Garden Multispeciality Dental Clinic,Mahim,Mumbai,500,100,188, Today
1089,Dr. Rahul N. Patil,Dentist,16,Om Dental Clinic,Chandivali,Mumbai,500,94,46, Today
1090,Dr. Adil Gandevivala,Dentist,15,Expressions Maxillofacial Surgery and Dentistry,Tardeo,Mumbai,500,99,45, Today
1091,Dr. Angad Shetye,Dentist,13,The Smile Hub Dental Orthodontic  And Maxillofacial Clinic,Kandivali West,Mumbai,500,100,14, Today
1093,Dr. Ankush R. Agrawal,Dentist,18,"Dentsee Dental Clinic, Laser and Implant Centre",Wakad,Pune,500,97,46, Today
1094,Dr. Mugdha Budhkar,Dentist,11,Dr Mugdha's Dental Studio,Warje,Pune,500,100,16, Today
1095,Dr. Laxman Revansidh Malkunje,Dentist,14,Deccan Multispeciality Hardikar Hospital,Shivajinagar,Pune,600,100,1, Today
1096,Dr. Vikram Deshmukh,Dentist,25,Shree Sai Samarth Dental Clinic & Implant Center,Nanded City,Pune,500,94,51, Today
1097,Dr. Bhawana Singh,Dentist,17,Global Dental Care,Kharadi,Pune,300,99,257, Today
1098,Dr. Rahul R. Bagrecha,Dentist,18,Teeth and Faces Dental Clinic and Implant Center,Kharadi,Pune,500,99,30, Today
1099,Dr. Tejashree Pangare,Dentist,13,Mankars Dental Clinic and Implant Centre,Lohegaon,Pune,500,94,12, Today
1100,Dr. Anjali Raheja,Dentist,8,Teethzz Dental Clinic,Camp,Pune,400,100,2, Today
1101,Dr. Sagar Jangam,Dentist,13,S.R Sun Dental (Orthodontics & Orofacial Surgery Centre),Sinhagad Road,Pune,500,100,5, Today
1102,Dr. Nakul Parasharami,Dentist,11,Canopy Dental Care and Implant Centre,Baner,Pune,300,100,10, Today
1104,Dr. Avantika Sharma,Dentist,10,JR Dental Clinic,Dwarka Sector 12,Delhi,500,100,18, Today
1105,Dr. Shiv P Mahapatra,Dentist,11,Gloire A Dieu Dental & Implant Clinic,Dwarka Sector 22,Delhi,500,94,25, Today
1106,Dr. Praveen Yadav,Dentist,12,Dentaris -A Specialist Dental Clinic,Uttam Nagar,Delhi,500,100,9, Today
1107,Dr. Manju Kaushik,Dentist,30,Dr. Soni's Dental Clinic,Lajpat Nagar,Delhi,500,99,196, Today
1108,Dr. Jitender Dabas,Dentist,14,Dental Craft Multispeciality Dentistry,Dwarka Sector 6,Delhi,500,100,7, Today
1109,Dr. Surya Prakash Bharadwaj,Dentist,18,Wisdom Dental Maxillofacial & Implant Clinic,Dwarka,Delhi,500,99,487, Today
1110,Dr. Abhishek Bhardwaj,Dentist,17,Abhirachna Dental,South Extension 1,Delhi,800,98,114, Today
1111,Dr. Abhimanyu Sharma,Dentist,15,The Tooth Dental and Orofacial Clinic,Vasundhra Enclave,Delhi,500,100,14, Today
1112,Dr. Anuja,Dentist,25,"Agarwal Orthopaedic, Dental & Diagnostic Center",Chitra Vihar,Delhi,400,100,3, Today
1113,Dr. Lalit Kumar,Dentist,18,LaDivya Centre for Implants & Oral Health Care,Vikas Puri,Delhi,500,98,39, Today
1115,Dr. Arimeeta Bhadra,Dentist,8,Teeth Care Multispeciality Dental Clinic,Rajarhat,Kolkata,500,97,170, Today
1116,Dr. Ankit Khandelwal,Dentist,10,Gajanan Clinic,Bhawanipore,Kolkata,500,99,82, Today
1117,Dr. Saurabh Gupta,Dentist,12,Being Dentist Maxillofacial and Dental Implants Clinic,Kankurgachi,Kolkata,500,99,140, Today
1118,Dr. Oishee Mukherjee,Dentist,2,AMRI Hospitals,Dhakuria,Kolkata,600,100,1, Today
1119,Dr. Siddhartha Chakraborty,Dentist,13,Charnock Hospital,Teghoria,Kolkata,1150,100,1, Today
1120,Dr. Arka Das,Dentist,10,Face O Dent,Santoshpur,Kolkata,500,100,83, Today
1121,Dr. Rituparna Saha,Dentist,16,Cosmedent,Gariahat,Kolkata,700,100,22, Today
1122,Dr. Shirish Dubey,Dentist,14,Dentotsav Dental Clinic,Kasba,Kolkata,1000,90,2, Today
1123,Dr. Rajarshi Bandyopadhyay,Dentist,30,AMRI Hospitals,Dhakuria,Kolkata,800,100,1, Today
1124,Dr. Shamik Gope,Dentist,15,Genesis Hospital,Kasba,Kolkata,700,100,1, Today
1140,Dr. Venu Kumari,Dermatologist,18,Dr. Venus Insititue of Skin & Hair,Chanda Nagar,Hyderabad,500,86,917, Today
1142,Dr. Sruthi Alla,Dermatologist,12,NYRA SKIN & HAIR CLINIC,Madhapur,Hyderabad,750,97,310, Today
1145,Dr. Shravya G,Dermatologist,17,Anceita Skin and Hair Clinic,Jubilee Hills,Hyderabad,800,92,203, Today
1153,Dr. N. Saravanan,Homoeopath,18,Priyam Clinic,Tambaram,Chennai,300,98,775, Today
1154,Dr. Nidhi Dube,Homoeopath,14,Dr Batra's Positive Health Clinic Pvt Ltd,Velachery,Chennai,450,100,3, Today
1156,Dr. L Mathuvenkatesan,Homoeopath,24,Dr Batra's Positive Health Clinic Pvt Ltd,Ashok Nagar,Chennai,450,75,4, Today
1158,Dr. M Vishnupriya,Ayurveda,15,Aditti Ayurveda And Panchakarma Clinic,Selaiyur,Chennai,300,100,139, Today
1163,Dr. Yogesh Kalyanpad,Dermatologist,13,SkinAmour Clinic,Santacruz West,Mumbai,1000,100,368, Today
1164,Dr. Ajay Nimbalkar,Dermatologist,12,Dermavenue Advanced Skin And Hair Clinic,Khar West,Mumbai,1200,95,67, Today
1187,Dr. Navnit Haror,Dermatologist,10,Derma Miracle Skin And Hair Transplant Clinic,Greater Kailash Part 1,Delhi,1000,92,109, Today
1191,Dr. Lipy Gupta,Dermatologist,18,Green Park Family Medicine Clinic,Green Park,Delhi,800,96,316, Today
1197,Dr. Supra Paul,Homoeopath,22,Dr Batra's Positive Health Clinic Pvt Ltd,Minto Park,Kolkata,450,100,8, Today
1198,Dr. Abhishek Chaturvedi,Homoeopath,12,Dr Batra's Positive Health Clinic Pvt Ltd,Behala,Kolkata,450,86,6, Today
1199,Dr. Khushbu Tantia,Dermatologist,10,La Derma Skin & Hair Clinic,Salt Lake,Kolkata,600,90,47, Today
1201,Dr. Chinmay Mahanta,Homoeopath,19,Dr Batra's Positive Health Clinic Pvt Ltd,Kolkatta,Kolkata,450,100,1, Today
1244,Dr. Kukreja A. Kalani,Homoeopath,26,Kent Homeopathy Clinic,Powai,Mumbai,500,98,341, Today
1258,Dr. Geeta N Parwani,Homoeopath,27,Healing Touch Multispeciality Clinic ,Viman Nagar,Pune,800,95,93, Today
1260,Dr. Vaseem Choudhary,Homoeopath,14,Homeo Care Clinic,Hadapsar,Pune,300,92,280, Today
1261,Dr. Rajshree Pokharna,Homoeopath,34,Rohan Clinic,Kharadi,Pune,500,95,41, Today
